wide_df_colnames_match,description,food_category_id,food_firsttwoword,food_name,Nitrogen,Protein,Total.lipid..fat.,Carbohydrate..by.difference,Ash,Energy,Starch,Sucrose,Glucose,Fructose,Lactose,Maltose,Carbohydrate..by.summation,Water,Sugars..Total,Fiber..total.dietary,Total.fat..NLEA.,Calcium..Ca,Iron..Fe,Magnesium..Mg,Phosphorus..P,Potassium..K,Sodium..Na,Zinc..Zn,Copper..Cu,Iodine..I,Manganese..Mn,Molybdenum..Mo,Selenium..Se,Retinol,Vitamin.A..RAE,Carotene..beta,Vitamin.E..alpha.tocopherol.,Vitamin.D..D2.+.D3...International.Units,Vitamin.D2..ergocalciferol.,Vitamin.D3..cholecalciferol.,Vitamin.D..D2.+.D3.,Cryptoxanthin..beta,Lutein.+.zeaxanthin,Tocopherol..beta,Tocopherol..gamma,Tocopherol..delta,Tocotrienol..alpha,Tocotrienol..beta,description_short
food.325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",12,seeds sunflower,seeds sunflower,3.96,21,56.1,17.1,4.3,612,1.5,3.14,0,0,0,0,14.9,1.5,3.14,10.3,52.1,78,5.21,358,750,689,532,6,1.83,0,2.89,0,80.4,0,1,10,19.6,0,0,0,0,1,42,0.99,0.97,0.33,0.05,0,"Seeds, sunflower"
food.325662,"Selenium, White bread, store brand, mixed composite (IN1,NY1) - NFY0907G5",18,selenium white,white bread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Selenium, White"
food.325663,"Sugars, White bread, store brand, mixed composite (IN1,NY1) - NFY0907G6",18,sugars white,sugars white,0,0,0,0,0,0,0,0,0.9,1.7,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sugars, White"
food.325665,"Starch, White bread, store brand, mixed composite (IN1,NY1) - NFY0907G8",18,starch white,white bread,0,0,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Starch, White"
food.325666,"TDF, White bread, store brand, mixed composite (IN1,NY1) - NFY0907G9",18,tdf white,white bread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TDF, White"
food.330420,"Proximates, Oil, coconut, LOU ANA (NC) - NFY120PDN",4,proximates oil,coconut oil,0,0,99.2,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proximates, Oil,"
food.330430,"Minerals, Oil, coconut, LOU ANA (MI,OK) - NFY120PE7",4,minerals oil,minerals oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Oil,"
food.330437,"Tocopherols, Oil, coconut, LOU ANA (FL,MO) - NFY120PDY",4,tocopherols oil,minerals oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.56,0,0.28,2.51,0.17,"Tocopherols, Oil,"
food.330464,"Total Fat, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (AL1)",5,total fat,turkey,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Total Fat,"
food.330465,"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (AL1)",5,protein ash&,haddock,4.24,26.5,0,0,1.33,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Protein, ash,&"
food.333284,"Minerals, Haddock, raw (CT) - NFY060CMH",15,minerals haddock,haddock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.15,22.9,183,342,131,0.32,0.026,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Haddock,"
food.333285,"Selenium, Haddock, raw (CT) - NFY060CMI",15,selenium haddock,haddock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Selenium, Haddock,"
food.333287,"Proximates, Haddock, raw (CT) - NFY060CMN",15,proximates haddock,haddock,2.91,0,0.46,0,1.14,0,0,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proximates, Haddock,"
food.334197,"Minerals, Sugar, Granulated, White, store brand (CA2, NC1, OK1) - NFY040XEQ",19,minerals sugar,sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.3,0,1,1,0.01,0.007,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minerals, Sugar,"
food.334198,"Proximates, Sugar, Granulated, White, store brand (CA2, NC1, OK1) - NFY040XER",19,proximates sugar,sugar,0,0,0.33,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proximates, Sugar,"
food.334199,"Sugars, Sugar, Granulated, White, store brand (CA2, NC1, OK1) - NFY040XES",19,sugars sugar,sugar,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sugars, Sugar,"
food.334253,"Selenium, Sweet And Sour Pork, Chinese restaurant (IN1,NY1) - NFY0903IC",25,selenium sweet,sweet and sour pork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Selenium, Sweet"
food.334255,"Retinol, Sweet And Sour Pork, Chinese restaurant (IN1,NY1) - NFY0903IF",25,retinol sweet,sweet and sour pork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Retinol, Sweet"
food.789890,"Flour, wheat, all-purpose, enriched, bleached",20,flour wheat,flour al purpose,1.75,10.9,1.48,77.3,0.42,366,0,0,0,0,0,0,0,9.83,0,0,0,19,5.62,26.7,108,136,2,0.72,0.155,0,0.758,37.6,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Flour, wheat,"
