,food.330420,food.324157,food.2261420,food.325524,food.330465,food.1750338,food.334198,food.333287,food.323893,food.321359,food.2257046,food.323121,food.323294,food.789890,food.319877,food.320356,food.330464,food.321372,food.321366,food.325665,food.325663,food.334199,food.323799,food.325666,food.323892,food.334197,food.320381,food.333284,food.330430,food.320380,food.334253,food.325662,food.333285,food.334255,food.325303,food.330437
Vitamin.E..alpha.tocopherol.,0,0.33,0,19.6,0,3.323,0,0,0,0.03,0,0.51,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
Vitamin.D..D2.+.D3...International.Units,0,0,0,0,0,37.1,0,0,0,45,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D2..ergocalciferol.,0,0,0,0,0,0.9266,0,0,0,0,1.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D3..cholecalciferol.,0,0,0,0,0,0,0,0,0,1.1,0.007692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin.D..D2.+.D3.,0,0,0,0,0,0.927,0,0,0,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptoxanthin..beta,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
Lutein.+.zeaxanthin,0,0,0,42,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
Tocopherol..beta,0,0,0,0.99,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
Tocopherol..gamma,0,0.14,0,0.97,0,0.02746,0,0,0,0,0,0.17,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocopherol..delta,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
Tocotrienol..alpha,0,0,0,0.05,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51
Tocotrienol..beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17
